totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor

500,451,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,48.1,29.74941884747823,18.840959043250876,3.500332737601335,4.281607181896186,3.5337514654175344,6.844740994015642,4.141197981845563,31.17473285302475,12.333773809773874,18.6876869075012,teal
500,452,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,48.2,29.800662829502066,18.789715061227042,3.5261274940864027,4.304497193575493,3.511839607314502,6.850810961579681,4.131148650036657,31.09064946622774,12.3009344050007,18.63689089583891,lightgray
500,453,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,48.300000000000004,29.851833063734922,18.7385448269942,3.5520208080192077,4.327494145085873,3.4898170138197955,6.856857893785869,4.1211041996564965,31.006681212051134,12.268136385056934,18.586167718868037,gray
500,454,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,48.400000000000006,29.902929321660686,18.687448569068437,3.57801308919076,4.3505984415871035,3.467683283544047,6.862881808207355,4.111064738796572,30.92282850847432,12.235379939405885,18.535517605210842,darkgray
500,455,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,48.5,29.953951374389884,18.63642651633924,3.60410474811375,4.373810488924876,3.445438014457862,6.868882722728291,4.101030375576945,30.839091773991704,12.202665257652463,18.48494078385278,black
500,456,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,48.6,30.004898992660678,18.58547889806843,3.6302961960017193,4.397130693610064,3.4230808039124403,6.87486065554327,4.091001218144912,30.755471427610686,12.169992529542256,18.43443748414139,red
500,457,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,48.7,30.05577194683975,18.534605943889375,3.6565878447475804,4.420559462797343,3.4006112486608453,6.880815625156738,4.08097737467373,30.671967888850233,12.137361944960858,18.38400793578551,purple
500,458,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,48.800000000000004,30.106570006923377,18.483807883805724,3.6829801069018586,4.444097204263521,3.3780289448795635,6.886747650382427,4.0709589533612505,30.58858157773863,12.104773693932906,18.333652368854075,magenta
500,459,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,48.900000000000006,30.157292942538447,18.43308494819067,3.7094733956501376,4.4677443263850956,3.3553334881908308,6.892656750342727,4.06094606242866,30.50531291481211,12.07222796662144,18.2833710137754,pink
500,460,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,49.0,30.207940522943417,18.382437367785684,3.7360681247902257,4.491501238115513,3.332524473685262,6.898542944468106,4.050938810119119,30.42216232111261,12.039724953326925,18.23316410133594,violet
500,461,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,49.1,30.258512517029455,18.331865373699657,3.7627647087085965,4.5153683489617125,3.309601495945188,6.9044062524964716,4.040937304696476,30.339130218186142,12.007264844486485,18.1830318626794,white
500,462,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,49.2,30.309008693321502,18.2813691974076,3.789563562356463,4.539346068960296,3.2865641490683704,6.910246694472562,4.030941654443913,30.256217028080574,11.974847830672974,18.132974529305518,orange
500,463,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,49.300000000000004,30.359428819979314,18.2309490707498,3.8164651012250737,4.563434808652946,3.263412026692462,6.916064290747281,4.020951967662671,30.173423173344037,11.942474102594236,18.082992333069278,yellow
500,464,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,49.400000000000006,30.40977266479872,18.180605225930407,3.8434697413207406,4.587634979061532,3.2401447220197896,6.92185906197709,4.010968352670668,30.09074907702242,11.910143851092013,18.033085506179415,green
500,465,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,49.5,30.46003999521261,18.130337895516504,3.870577899139013,4.611946991662408,3.216761827842923,6.927631029123315,4.000990917801218,30.008195162657767,11.877857267141263,17.983254281197688,lime
500,466,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,49.6,30.51023057829226,18.08014731243685,3.89778999163844,4.636371258360276,3.1932629365707017,6.933380213451505,3.991019771401686,29.925761854285895,11.845614541849045,17.933498891037377,brown
500,467,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,49.7,30.560344180748434,18.03003370998067,3.9251064362137242,4.660908191461444,3.169647640254845,6.93910663653074,3.9810550218321565,29.84344957643443,11.81341586645376,17.883819568962412,olive
500,468,1.5,8.0,3.0,3.0,7.416198487095663,22.024312837042164,-5.291502622129181,131.40962210927088,49.800000000000004,30.61038056893262,17.979997321796503,3.952527650668207,4.685558203646425,3.145915530617234,6.944810320232955,3.971096777464112,29.761258754120565,11.781261432324062,17.834216548585957,blue
